MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;03.05.2024 17:00:16;03.05.2024 17:00:04;Battery Level;"78.56"
04C3E680FACF;Stapler 349-1;03.05.2024 17:00:16;03.05.2024 17:00:04;Battery Used Charge;"1500.451 mAh"
04C3E680FACF;Stapler 349-1;03.05.2024 17:00:16;03.05.2024 17:00:04;Battery Voltage;"3.648"
04C3E680FACF;Stapler 349-1;03.05.2024 05:00:19;03.05.2024 05:00:09;Battery Level;"79.15"
04C3E680FACF;Stapler 349-1;03.05.2024 05:00:19;03.05.2024 05:00:09;Battery Used Charge;"1459.229 mAh"
04C3E680FACF;Stapler 349-1;03.05.2024 05:00:19;03.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;02.05.2024 22:59:47;02.05.2024 22:59:37;Battery Level;"79.17"
04C3E680FACF;Stapler 349-1;02.05.2024 22:59:47;02.05.2024 22:59:37;Battery Used Charge;"1458.401 mAh"
04C3E680FACF;Stapler 349-1;02.05.2024 22:59:47;02.05.2024 22:59:37;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;02.05.2024 17:00:18;02.05.2024 17:00:04;Battery Level;"79.21"
04C3E680FACF;Stapler 349-1;02.05.2024 17:00:18;02.05.2024 17:00:04;Battery Used Charge;"1455.308 mAh"
04C3E680FACF;Stapler 349-1;02.05.2024 17:00:18;02.05.2024 17:00:04;Battery Voltage;"3.648"
04C3E680FACF;Stapler 349-1;02.05.2024 05:00:19;02.05.2024 05:00:09;Battery Level;"79.89"
04C3E680FACF;Stapler 349-1;02.05.2024 05:00:19;02.05.2024 05:00:09;Battery Used Charge;"1407.345 mAh"
04C3E680FACF;Stapler 349-1;02.05.2024 05:00:19;02.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;01.05.2024 22:59:53;01.05.2024 22:59:37;Battery Level;"79.91"
04C3E680FACF;Stapler 349-1;01.05.2024 22:59:53;01.05.2024 22:59:37;Battery Used Charge;"1406.105 mAh"
04C3E680FACF;Stapler 349-1;01.05.2024 22:59:53;01.05.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;01.05.2024 17:00:13;01.05.2024 17:00:04;Battery Level;"79.93"
04C3E680FACF;Stapler 349-1;01.05.2024 17:00:13;01.05.2024 17:00:04;Battery Used Charge;"1405.201 mAh"
04C3E680FACF;Stapler 349-1;01.05.2024 17:00:13;01.05.2024 17:00:04;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;01.05.2024 05:00:18;01.05.2024 05:00:09;Battery Level;"79.94"
04C3E680FACF;Stapler 349-1;01.05.2024 05:00:18;01.05.2024 05:00:09;Battery Used Charge;"1403.973 mAh"
04C3E680FACF;Stapler 349-1;01.05.2024 05:00:18;01.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;30.04.2024 22:59:47;30.04.2024 22:59:37;Battery Level;"79.96"
04C3E680FACF;Stapler 349-1;30.04.2024 22:59:47;30.04.2024 22:59:37;Battery Used Charge;"1403.116 mAh"
